t_ms,vm_soma_mV,vm_far_mV
7.47,-73.50442623,-79.54235618
7.48,-73.48312282,-79.53141861
7.49,-73.46180553,-79.52044665
7.5,-73.44047449,-79.50944032
7.51,-73.41912982,-79.49839962
7.52,-73.39777165,-79.48732459
7.53,-73.37640012,-79.47621523
7.54,-73.35501535,-79.46507158
7.55,-73.33361747,-79.45389365
7.56,-73.31220661,-79.44268146
7.57,-73.2907829,-79.43143505
7.58,-73.26934647,-79.42015443
7.59,-73.24789745,-79.40883962
7.6,-73.22643596,-79.39749066
7.61,-73.20496214,-79.38610758
7.62,-73.18347611,-79.3746904
7.63,-73.16197801,-79.36323915
7.64,-73.14046795,-79.35175386
7.65,-73.11894608,-79.34023456
7.66,-73.09741253,-79.32868129
7.67,-73.07586741,-79.31709408
7.68,-73.05431086,-79.30547297
7.69,-73.032743,-79.29381798
7.7,-73.01116398,-79.28212916
7.71,-72.98957391,-79.27040654
7.72,-72.96797292,-79.25865017
7.73,-72.94636115,-79.24686007
7.74,-72.92473872,-79.23503629
7.75,-72.90310577,-79.22317888
7.76,-72.88146241,-79.21128787
7.77,-72.85980878,-79.19936331
7.78,-72.83814501,-79.18740524
7.79,-72.81647123,-79.1754137
7.8,-72.79478755,-79.16338875
7.81,-72.77309413,-79.15133043
7.82,-72.75139107,-79.13923879
