t_ms,vm_soma_mV,vm_far_mV
7.29,-73.88534469,-79.73334958
7.3,-73.86431159,-79.72303404
7.31,-73.84326074,-79.71268206
7.32,-73.8222002,-79.70230025
7.33,-73.80112164,-79.69188444
7.34,-73.78002536,-79.68143467
7.35,-73.75891261,-79.67093913
7.36,-73.73778249,-79.66040651
7.37,-73.71664268,-79.64984697
7.38,-73.69548581,-79.63924907
7.39,-73.67431201,-79.6286256
7.4,-73.65312689,-79.617964
7.41,-73.63191968,-79.60726806
7.42,-73.61070067,-79.59653979
7.43,-73.58947353,-79.58578006
7.44,-73.56822778,-79.57498556
7.45,-73.54696689,-79.5641523
7.46,-73.52569607,-79.55328403
7.47,-73.50440857,-79.5423822
7.48,-73.48310341,-79.53144484
7.49,-73.46178413,-79.52047487
7.5,-73.44045437,-79.50946178
7.51,-73.41911556,-79.49841574
7.52,-73.39775285,-79.48734082
7.53,-73.37638091,-79.4762342
7.54,-73.35499939,-79.4650954
7.55,-73.33360341,-79.45391492
7.56,-73.31219687,-79.4427041
7.57,-73.29076839,-79.4314566
7.58,-73.26932982,-79.42017955
7.59,-73.24788459,-79.40886304
7.6,-73.22642123,-79.39751194
7.61,-73.20494934,-79.3861324
7.62,-73.18346289,-79.37471497
7.63,-73.16196049,-79.36326247
7.64,-73.14044969,-79.35177567
7.65,-73.11892931,-79.34025664
7.66,-73.09740102,-79.32870458
7.67,-73.07585665,-79.31711812
7.68,-73.05430476,-79.30549592
7.69,-73.03274324,-79.29384072
7.7,-73.01115958,-79.28214793
7.71,-72.98956955,-79.27042612
7.72,-72.96797096,-79.25867034
7.73,-72.9463562,-79.24688156
7.74,-72.92473365,-79.23505899
7.75,-72.90310268,-79.22320397
7.76,-72.88145759,-79.21131425
7.77,-72.85980385,-79.19938898
7.78,-72.83813554,-79.1874286
7.79,-72.81645935,-79.17543526
7.8,-72.79477436,-79.16340695
7.81,-72.77307598,-79.15134636
7.82,-72.75137715,-79.13925463
